cas,teplota_aht,vlhkost_aht,teplota_bmp,tlak,nadm_vyska
2026-01-09 12:19:38,19.9,40.5,20.0,959.5,1000.3,349.9
2026-01-09 12:19:43,19.9,40.5,20.0,959.5,1000.3,349.9
2026-01-09 12:19:48,19.9,40.5,20.1,959.5,1000.3,349.9
2026-01-09 12:19:53,19.9,40.4,20.1,959.5,1000.3,349.9
2026-01-09 12:19:58,19.9,40.4,20.1,959.5,1000.3,349.9
2026-01-09 12:20:03,19.9,40.5,20.0,959.5,1000.3,349.9
2026-01-09 12:20:09,19.9,40.5,20.1,959.4,1000.2,349.9
2026-01-09 12:20:14,19.9,40.6,20.1,959.5,1000.3,349.9
2026-01-09 12:20:19,19.9,41.3,20.1,959.5,1000.3,349.9
2026-01-09 12:20:24,20.0,41.3,20.1,959.5,1000.3,349.9
2026-01-09 12:20:29,20.0,41.2,20.1,959.5,1000.3,349.9
2026-01-09 12:20:35,20.0,41.1,20.1,959.4,1000.2,349.9
2026-01-09 12:20:40,20.0,41.0,20.1,959.4,1000.2,349.9
